,country_of_origin,variety,aroma,aftertaste,acidity,body,balance,moisture,specialty
1178,Colombia,Caturra,7.42,6.75,7.25,7.42,7.25,0.0,No
1045,Costa Rica,Caturra,7.33,7.25,7.25,7.17,7.17,0.11,Yes
272,Mexico,Typica,7.5,7.58,7.83,7.75,7.75,0.11,Yes
277,Guatemala,Bourbon,7.75,7.5,7.75,7.83,7.58,0.11,Yes
571,Colombia,Caturra,7.83,7.5,7.42,7.5,7.5,0.11,Yes
248,Colombia,Caturra,7.58,7.75,7.92,7.75,7.92,0.12,Yes
410,Guatemala,Bourbon,7.83,7.17,7.67,7.67,7.67,0.11,Yes
1241,Mexico,Other,7.25,7.0,7.0,7.25,7.08,0.12,No
602,Colombia,Caturra,7.5,7.42,7.67,7.5,7.58,0.0,Yes
788,Mexico,Typica,7.5,7.42,7.5,7.25,7.5,0.13,Yes
509,Other,Other,7.67,7.67,7.83,7.75,7.83,0.0,Yes
505,Guatemala,Bourbon,7.83,7.25,7.67,7.75,7.5,0.11,Yes
634,Taiwan,Typica,7.67,7.5,7.42,7.58,7.5,0.11,Yes
826,Mexico,Bourbon,7.58,7.25,7.58,7.5,7.25,0.12,Yes
815,Guatemala,Bourbon,7.58,7.25,7.58,7.58,7.5,0.1,Yes
850,Colombia,Caturra,7.5,7.0,7.42,7.5,7.58,0.0,Yes
514,Colombia,Caturra,7.83,7.58,7.33,7.5,7.67,0.0,Yes
795,Honduras,Caturra,7.5,7.25,7.33,7.42,7.5,0.1,Yes
306,Colombia,Caturra,7.58,7.75,7.67,7.67,7.67,0.0,Yes
703,Colombia,Caturra,7.33,7.17,7.58,7.42,7.58,0.0,Yes
449,Other,Bourbon,7.5,7.33,7.67,8.0,7.67,0.0,Yes
499,Other,Bourbon,7.67,7.42,7.42,7.83,7.5,0.12,Yes
1217,Taiwan,Typica,6.83,7.17,7.25,7.0,6.92,0.1,No
463,Guatemala,Bourbon,7.67,7.33,7.67,7.5,7.67,0.11,Yes
969,Guatemala,Caturra,7.5,7.5,7.58,7.0,7.25,0.11,Yes
689,Mexico,Bourbon,7.5,7.5,7.92,7.42,7.67,0.12,Yes
761,Brazil,Yellow Bourbon,6.92,7.42,7.33,7.83,7.5,0.0,Yes
216,Colombia,Caturra,8.0,7.5,7.67,8.0,7.83,0.0,Yes
503,Guatemala,Catuai,7.67,7.33,7.92,7.42,7.5,0.11,Yes
539,Other,Other,7.58,7.67,7.58,7.5,7.5,0.11,Yes
709,Costa Rica,Caturra,7.75,7.25,7.25,7.42,7.67,0.1,Yes
1123,Other,Other,7.17,7.0,7.42,7.17,7.0,0.0,No
141,Other,Other,7.92,7.75,7.92,7.67,7.75,0.11,Yes
386,Colombia,Caturra,7.58,7.25,7.75,7.75,8.58,0.12,Yes
863,Mexico,Bourbon,7.5,7.33,7.42,7.25,7.25,0.13,Yes
318,Brazil,Bourbon,7.58,7.58,7.75,7.58,7.58,0.11,Yes
665,Guatemala,Bourbon,7.83,7.17,7.33,7.5,7.67,0.11,Yes
619,Other,Other,7.67,7.33,7.67,7.5,7.5,0.12,Yes
1253,Brazil,Bourbon,7.5,7.42,7.58,7.58,6.92,0.0,No
1309,Guatemala,Catuai,7.5,6.67,7.67,7.33,6.67,0.1,No
682,"Tanzania, United Republic Of",Other,7.67,7.42,7.42,7.67,7.42,0.13,Yes
893,Mexico,Caturra,7.75,7.25,7.17,7.58,7.33,0.11,Yes
65,Other,Caturra,8.0,7.83,7.83,7.67,8.58,0.09,Yes
41,Brazil,Yellow Bourbon,8.17,7.92,7.75,8.33,8.0,0.08,Yes
230,Other,Other,7.83,7.5,7.83,7.83,7.75,0.11,Yes
447,Other,Other,7.5,7.33,7.67,7.67,7.67,0.11,Yes
213,Guatemala,Caturra,7.75,7.58,8.0,7.67,7.83,0.11,Yes
276,Costa Rica,Caturra,7.67,7.75,7.67,7.5,7.75,0.0,Yes
818,Brazil,Catuai,7.42,7.33,7.5,7.5,7.33,0.11,Yes
153,Colombia,Caturra,7.67,7.83,8.0,7.58,7.92,0.0,Yes
151,Colombia,Caturra,7.75,7.83,7.75,7.58,8.0,0.0,Yes
740,Other,Other,7.58,7.33,7.42,7.58,7.5,0.13,Yes
242,Honduras,Caturra,7.42,7.75,7.92,7.75,7.58,0.1,Yes
222,Colombia,Other,7.67,7.67,7.42,7.83,8.58,0.12,Yes
779,Brazil,Bourbon,7.42,7.42,7.5,7.42,7.25,0.11,Yes
695,Mexico,Caturra,7.75,7.25,7.58,7.58,7.33,0.13,Yes
1235,Taiwan,Yellow Bourbon,7.5,7.33,7.17,7.5,7.5,0.0,No
354,Colombia,Caturra,7.75,7.58,7.5,7.75,7.75,0.0,Yes
1206,Other,Caturra,7.17,6.92,7.0,7.0,7.0,0.1,No
970,Mexico,Typica,7.42,7.33,7.33,7.5,7.42,0.12,Yes
496,Brazil,Bourbon,7.58,7.5,7.75,7.67,7.5,0.0,Yes
964,Other,Catuai,7.08,7.33,7.17,7.42,7.25,0.1,Yes
706,Brazil,Catuai,7.33,7.5,7.33,7.5,7.5,0.11,Yes
1105,Other,Other,7.42,7.25,7.58,7.42,7.33,0.0,Yes
593,Other,Other,7.75,7.42,7.5,7.33,7.5,0.12,Yes
1119,Taiwan,Typica,7.25,7.25,7.08,7.17,7.08,0.11,Yes
873,Honduras,Catuai,7.58,7.33,7.33,7.42,7.25,0.11,Yes
607,Brazil,Bourbon,7.5,7.25,7.75,7.58,7.5,0.0,Yes
207,Mexico,Bourbon,7.83,7.75,7.67,7.83,7.58,0.12,Yes
547,Guatemala,Caturra,7.67,7.42,7.5,7.33,7.5,0.1,Yes
691,Colombia,Caturra,7.67,7.33,7.5,7.58,7.5,0.11,Yes
1081,Other,Bourbon,7.33,7.08,7.08,7.33,7.17,0.0,Yes
780,Brazil,Yellow Bourbon,7.25,7.58,7.58,7.25,7.92,0.0,Yes
515,Colombia,Caturra,7.33,7.75,7.42,7.75,7.58,0.11,Yes
821,"Tanzania, United Republic Of",Other,7.33,7.33,7.42,7.5,7.58,0.12,Yes
1137,Mexico,Other,7.17,7.08,7.58,7.33,7.08,0.11,No
288,Guatemala,Bourbon,7.5,7.5,7.83,7.83,7.67,0.11,Yes
1238,Guatemala,Other,7.42,6.83,7.33,7.0,6.92,0.1,No
944,Guatemala,Bourbon,7.42,7.25,7.42,7.42,7.5,0.12,Yes
626,Mexico,Other,7.58,7.42,7.58,7.42,7.5,0.11,Yes
676,Guatemala,Bourbon,7.67,7.25,7.67,7.42,7.33,0.12,Yes
429,Mexico,Bourbon,7.58,7.5,7.5,7.58,7.58,0.12,Yes
976,Other,Caturra,6.83,7.42,7.17,7.5,7.42,0.12,Yes
1211,Mexico,Bourbon,7.67,6.83,7.33,7.58,7.17,0.12,No
378,Costa Rica,Caturra,7.58,7.42,7.92,7.5,7.67,0.09,Yes
663,Guatemala,Bourbon,7.83,7.33,7.67,7.42,7.5,0.12,Yes
1173,Mexico,Typica,7.25,7.0,7.25,7.17,7.17,0.12,No
402,"Tanzania, United Republic Of",Other,7.75,7.67,7.58,7.58,7.58,0.12,Yes
508,Other,Other,7.83,7.5,7.5,7.58,7.5,0.12,Yes
1034,Mexico,Bourbon,7.5,7.33,7.25,7.17,7.17,0.13,Yes
916,Costa Rica,Caturra,7.83,7.08,7.08,7.33,7.5,0.12,Yes
653,Brazil,Bourbon,7.5,7.5,7.5,7.58,7.5,0.11,Yes
458,Honduras,Catuai,7.5,7.5,7.67,7.67,7.67,0.1,Yes
233,Taiwan,Typica,7.58,7.67,7.67,7.75,7.83,0.1,Yes
1290,Mexico,Typica,7.67,7.17,7.58,7.33,7.33,0.12,No
1021,Taiwan,Typica,7.92,7.33,7.08,7.08,7.08,0.09,Yes
482,Taiwan,Typica,7.83,7.5,7.83,7.67,7.25,0.0,Yes
347,Colombia,Caturra,7.67,7.58,7.67,7.75,7.58,0.11,Yes
911,Other,Caturra,7.5,7.33,7.33,7.25,7.33,0.11,Yes
1069,Guatemala,Caturra,7.33,7.08,7.17,7.25,7.17,0.1,Yes
1210,Mexico,Typica,7.25,7.17,7.25,7.08,7.0,0.14,No
733,Colombia,Caturra,7.83,7.33,7.25,7.58,7.42,0.0,Yes
620,Taiwan,Typica,7.67,7.5,7.5,7.5,7.5,0.11,Yes
951,Honduras,Caturra,7.5,7.0,7.17,7.5,7.33,0.11,Yes
358,Other,Other,7.25,7.58,7.92,7.83,7.58,0.13,Yes
773,Guatemala,Caturra,7.25,7.0,7.75,8.17,7.75,0.12,Yes
1162,Mexico,Caturra,7.33,7.0,6.75,7.08,7.0,0.13,No
806,Taiwan,Typica,7.42,7.33,7.42,8.0,7.5,0.12,Yes
837,Guatemala,Bourbon,7.58,7.33,7.42,7.58,7.25,0.1,Yes
290,Mexico,Other,7.67,7.5,7.75,7.75,7.75,0.11,Yes
1068,Taiwan,Other,7.17,7.17,7.42,7.17,7.25,0.0,Yes
513,Colombia,Caturra,7.75,7.33,7.5,7.58,7.17,0.11,Yes
